"Speaker Name","Start Time","End Time","Text"
"Dietmar","00:16:28:04","00:16:43:10","Also der Tag, wo die das erste Mal lief und die Proberechnung. Und wir hatten ja unsere Ergebnisse mit Taschenrechner... vorher berechnet. Und wir drehen und kurbeln. Und sie hat auch von dem Geräusch her alles gepasst. Und irgendein Leerlauf, Ergebnisdarstellung... Ich lauf rüber an die Anzeigetafel: War die Zahl, die wir auch erwartet hatten!"
"Michael","00:16:43:10","00:16:43:38","Wahnsinn!"
"Michael","00:16:43:41","00:16:46:15","Das ist wie ein Wunder, oder?"
"Dietmar","00:16:46:15","00:16:48:21","Da würde man heute sagen: Give me five!"
"Dietmar","00:16:48:22","00:16:49:18","Sozusagen, na?"
"Michael","00:16:49:18","00:16:50:42","Habt ihr nicht mit dem Zuse dann irgendwie...."
"Dietmar","00:16:50:42","00:16:51:36","Ne, haben wir nicht!"
"Dietmar","00:16:51:36","00:16:56:02","Zuse war da auch kein Typ dafür, war emotional so Hände am Rücken: “Na ja, das ist ja dann schön!”"
"Dietmar","00:16:56:02","00:16:57:34","Dann ist er wieder gegangen, also so Hände am Rücken."
"Dietmar","00:16:58:05","00:17:00:21","So ganz nüchterne Kommentare. Der war kein emotionaler Typ!"
"Michael","00:17:00:21","00:17:01:13","Kein emotionaler Typ?"
"Dietmar","00:17:01:16","00:17:01:43","Nein, nein!"
"Dietmar","00:17:01:43","00:17:06:18","Er wird sich... Ich bin mir sicher, der wird sich innerlich mordsmäßig gefreut haben. Auch ihm ist eine Last abgefallen!"
"Dietmar","00:17:06:18","00:17:09:49","Weil der hat ja... täglich gearbeitet an der Maschine..."
"Dietmar","00:17:09:49","00:17:20:33","Also auch die Theorie: Der ist ja runter in sein Wohnzimmer, da hat er keine Pause gemacht und Kaffee getrunken und Zeitung gelesen, sondern er hat ja über den Plänen gehangen. Und das hat er Samstag und Sonntag gemacht. Also das war ein Rundum-Job für ihn."
"Dietmar","00:17:21:03","00:17:36:03","Und er hat auch in der Zeit... einen leichten Herzinfarkt bekommen, muss man dazu sagen. Also er war auch mal für ein paar Wochen weg... Und das wäre für unsere Arbeit das Aus gewesen, wenn er jetzt gestorben wäre, mal ganz krass gesagt! Was hätte man denn dokumentieren sollen? Das wäre Ende Gelände gewesen! Ohne ihn wäre das nicht gegangen!"
"Dietmar","00:17:36:46","00:17:41:03","Ganz klar, ihm gehört die Ehre, dass er das Ganze hinbekommen hat, in dem Alter..."
"Dietmar","00:17:41:03","00:17:41:36","Wahnsinn!"
"Dietmar","00:17:41:36","00:17:42:40","Bewundere ich ihn heute noch dafür!"
"Michael","00:17:43:00","00:17:45:12","Na ja, aber ohne euch wäre es vielleicht auch nicht gegangen..."
"Dietmar","00:17:45:12","00:18:00:01","Ja, das haben einige gesagt. Wir haben ein bisschen mehr “Speed” reingebracht in die Sache, dokumentiert. Weil das hätte der Facharbeiter oder die anderen Beteiligten, die so im Hintergrund noch gearbeitet haben... Hat niemand dokumentiert. Das war schon die Diplomarbeit, muss man ganz klar sagen!"
"Dietmar","00:18:00:01","00:18:05:00","Man hätte vielleicht noch parallel nochmal zwei dazunehmen sollen... Doktoranden, die sich dann ums Rechenwerk gekümmert hätten."
"Dietmar","00:18:05:00","00:18:24:34","Wir haben es auch mehrmals rechen... mehrmals angemeldet bei dem Kuratorium, dass die Dokumentation vom Rechenwerk momentan ins Leere läuft. Niemand da ist und der... Die ganze Maschine letztendlich von uns drei aus dem Kopf und Ablageblech lebt. Plus diese Pläne, die es gibt, aber es gibt keine richtige Dokumentation."
"Dietmar","00:18:24:34","00:18:28:26","Das haben wir unendlich oft angebracht, auch dem Museum gegenüber."
"Dietmar","00:18:28:26","00:18:45:43","Dann haben sie uns ja später Mitarbeiter gegeben. Der kam zu uns nach Hünfeld, vom Museum. Und der hat auch mitgearbeitet. Es war schon älterer Kollege. Und der hat auch diesen Vorsprung, den wir hatten, nicht mehr aufgeholt. Das heißt, dieses tiefe Wissen hat er nicht erlangt in der Zeit."
"Dietmar","00:18:45:43","00:18:50:32","Und deswegen ist die Maschine auch dort im Museum, so wie sie heute ist."
"Dietmar","00:18:50:32","00:18:56:23","Wie genau das Rechenwerk funktioniert hat? Wir haben es auch nicht im Detail gewusst, das war Zuses Wissen in seinem Kopf..."
"Michael","00:18:56:23","00:18:56:32","Mmh..."
"Dietmar","00:18:57:36","00:18:58:39","Und das fehlt!"
"Michael","00:18:58:39","00:19:04:40","Für mich auch unglaublich, so etwas im Kopf zu behalten... Und dann auch noch die Umsetzung in die Mechanik..."
"Dietmar","00:19:04:40","00:19:07:01","Ja, und immer die vier Takte beizubehalten!"
"Dietmar","00:19:07:01","00:19:08:27","Er muss die ganzen..."
"Dietmar","00:19:08:27","00:19:15:08","Wir haben da so ein Modell: Die richtigen Impulse zum richtigen Zeitpunkt. Wenn das nicht funktioniert und er macht einen falschen Impuls, krachen die Bleche."
"Dietmar","00:19:15:08","00:19:24:45","Das haben wir oft genug erlebt! Das hat er auch noch im Kopf behalten müssen. Das heißt, nicht nur die Logik zu übertragen, sondern auch die Mechanik noch zu applizieren, dass die auch im richtigen Impuls kommen, zum richtigen Zeitpunkt."
"Dietmar","00:19:25:10","00:19:25:44","Unfassbar!"
"Michael","00:19:26:18","00:19:28:23","Man merkt hier immer so ein bisschen Spiel."
"Dietmar","00:19:28:23","00:19:29:18","Genau!"
"Michael","00:19:29:18","00:19:29:34","Und..."
"Michael","00:19:29:34","00:19:34:41","Und das war dann auch so ein bisschen das Problem am Ende, weil..."
"Dietmar","00:19:35:05","00:19:36:15","Die Spiele sich addieren!"
"Dietmar","00:19:36:15","00:19:51:22","Und wenn du eine Rechenoperation hast, je nachdem, wie komplex die war, hast du über unglaublich viele Bleche und Stifte den Impuls weitergeben müssen. Und wenn du bei jedem Impuls ein paar Hundertstel, oder sagen wir sogar Zehntel verlierst. Ich weiß nicht mehr genau, wie viele das waren. Dann kamen am Ende statt drei Millimeter nur noch zwei Millimeter an."
"Dietmar","00:19:51:22","00:19:53:18","Und da war der Stift auf halber Höhe."
"Dietmar","00:19:53:18","00:19:55:04","Und das war das Krachen!"
"Dietmar","00:19:55:04","00:20:02:36","Und wenn du Glück hattest und hattest eine Operation oder eine Berechnung, die nicht so viele Impulse gebraucht hat, bis zum Ende, dann ist die Maschine wunderbar gelaufen."
"Dietmar","00:20:02:36","00:20:08:14","Das war auch der Grund, warum manchmal lief es super gut durch, und andermal was es hakelig. Und das ist das Spiel."
"Dietmar","00:20:08:14","00:20:18:30","Man hätte eine Art “Booster” einbauen müssen, sozusagen jede Bewegung normieren, auf einen festen Wert bringen müssen. Das wäre noch so die Verbesserung gewesen, wenn man die Maschine nochmal optimiert hätte."
"Michael","00:20:19:05","00:20:20:06","Das habe ich noch nicht verstanden..."
"Dietmar","00:20:20:06","00:20:23:06","Also du hast einen Impuls, acht Millimeter als Beispiel."
"Michael","00:20:23:06","00:20:24:36","Also ein Impuls, der acht Millimeter das Blech schiebt."
"Dietmar","00:20:24:36","00:20:29:00","Genau, von der Rundbewegung in eine Translationsbewegung."
"Dietmar","00:20:29:00","00:20:38:30","Ich kenne jetzt nicht mehr die Millimeter Zahl... Aber angenommen, es wären acht Millimeter gewesen. Und durch das Spiel von einzelnen Stiften kommen am Ende nur noch 6,8 Millimeter an, statt acht."
"Dietmar","00:20:38:30","00:20:43:49","Dann geht das noch gerade so gut durch, weil der Stift schon über die Hälfte drüber ist, über das nächste Impulsblech."
"Dietmar","00:20:43:49","00:20:49:25","Und das hätte man vermeiden können, indem man jeden... jede Bewegung immer auf diese acht Millimeter normiert hätte."
"Dietmar","00:20:49:25","00:20:51:07","Mit einer Feder sozusagen!"
"Michael","00:20:51:07","00:20:51:40","Ach..."
"Dietmar","00:20:51:40","00:20:53:42","Dass man die immer auf den Endanschlag bringt."
"Michael","00:20:53:42","00:20:54:40","Dass man mit einer Feder das einschnappen lässt, sozusagen."
"Dietmar","00:20:55:11","00:20:55:28","Genau!"
"Dietmar","00:20:56:11","00:20:59:03","Ich weiß es heute von der Fahrradtechnik, die machen das viel."
"Dietmar","00:20:59:03","00:21:07:38","Unser Sperrklinkenmechanismus: Da ist dann auch so eine Rastnase und damit die auch wieder anliegt, ist die mit einer Feder behaftet und zieht die immer auf den End-Anschlag ran. Und das hätte man hier auch machen können."
"Michael","00:21:07:38","00:21:08:20","Okay."
"Dietmar","00:21:08:20","00:21:15:04","Jedes Blech sozusagen mit einer Feder auf den End-Anschlag bringen, dass die echten 8 Millimeter anliegen, kurz weiter schalten..."
"Dietmar","00:21:15:04","00:21:18:10","Und dann immer wieder jeden Impuls auf diesen End-Anschlag bringen."
"Dietmar","00:21:19:02","00:21:24:45","Ich nenne das jetzt mal “Booster” oder... oder Nachrücken auf einen Normwert. Dann wäre das glaube ich viel stabiler gelaufen!"
"Dietmar","00:21:24:45","00:21:30:31","Und die hohe Genauigkeit, die wir damals hatten, das war ja alles auf Hundertstel drahterodiert und die waren super genau! Also die Messmaschinen..."
"Dietmar","00:21:30:31","00:21:32:45","Wenn du acht hattest mit einem Messschieber..."
"Dietmar","00:21:32:45","00:21:35:48","Der war exakt acht, das war unglaublich, wie genau die erodiert haben."
"Dietmar","00:21:35:48","00:21:40:01","Und die Stifte waren Stifte aus einem Wälzlager, also das waren gehärtete Stahlstifte."
"Michael","00:21:40:01","00:21:46:15","Also erodiert, das hast du erklärt in deinem Vortrag. Da hast du irgendwie Drahterosionsmaschine... Oder wie hieß das?"
"Dietmar","00:21:46:15","00:21:46:48","Ja!"
"Dietmar","00:21:46:48","00:21:48:43","Ja, die heißt Drahterosionsmaschine."
"Dietmar","00:21:48:43","00:22:01:43","Im Prinzip ein Kupferdraht, der lang läuft, mit Strom behaftet ist. Hat einen Wasserstrahl drumherum. Und der brennt, wie so ein Schweißverfahren, die zu bearbeitenden Bleche ab und fährt dann währenddessen weiter."
"Dietmar","00:22:01:43","00:22:06:30","Also dieser Draht läuft runter und die XY-Bewegung macht eine CNC-Maschine. Und so wurden die Formen ausgeschnitten."
"Michael","00:22:06:48","00:22:08:40","Wird erhitzt, der Apparat?"
"Dietmar","00:22:08:41","00:22:10:25","Nicht erhitzt, sondern die Hitze kam durch den Stromfluss."
"Michael","00:22:10:43","00:22:11:17","Ja durch den Stromfluss?"
"Dietmar","00:22:11:17","00:22:11:28","Ja!"
"Michael","00:22:11:28","00:22:12:27","Da wird er heiß, der Draht..."
"Michael","00:22:12:27","00:22:13:25","Der wird heiß, genau!"
"Michael","00:22:13:28","00:22:16:19","Und dass er nicht kaputt geht, wird er ständig nachgeführt..."
"Dietmar","00:22:16:19","00:22:16:35","Richtig!"
"Dietmar","00:22:16:46","00:22:31:05","Genau, der abgenutzte Draht war auch ganz rau... Der war dann nicht mehr so dick, wie er am Anfang war. Und das ist sozusagen der Verschleiß gewesen von der Maschine. Das war immer ein abgenutzter Draht, der aufgewickelt wurde. Der wurde dann zum Recycling gebracht und der Original Draht war sozusagen der..."
"Dietmar","00:22:31:05","00:22:34:26","Wie so ein Schweißdraht, der vorbeifährt und der hat Material weggenommen."
"Michael","00:22:34:37","00:22:35:35","Hast du das mal angeschaut, wahrscheinlich, oder?"
"Dietmar","00:22:36:06","00:22:41:35","Ja, wir haben auch einzelne NC-Programme schreiben dürfen. Das war auch im Rahmen der Diplomarbeit, hat uns das auch interessiert!"
"Dietmar","00:22:41:35","00:22:45:27","Und der Werkleiter war super nett! Der meinte dann auch: Wollt ihr mal selber programmieren, ein paar Bleche?"
"Dietmar","00:22:45:27","00:22:46:10","Und wir dann so: Ja klar!"
"Dietmar","00:22:46:10","00:22:49:21","Und dann haben die uns das gezeigt, wie das geht. Da haben wir ein paar Bleche selbst programmiert."
"Dietmar","00:22:49:21","00:22:56:00","Es war eine Maschinensteuerung mit “G-Code”... Ich weiß noch genau, wie diese ganzen einzelnen Codes abliefen."
"Dietmar","00:22:56:00","00:22:56:21","Und..."
"Dietmar","00:22:57:25","00:22:59:05","Die Genauigkeit war überragend!"
"Dietmar","00:22:59:05","00:23:04:31","Und das war wohl auch der Grund, warum Zuse gesagt hat, da brauchen wir keinen Booster oder irgendeinen Anschlag, sondern die Genauigkeit reicht aus!"
"Michael","00:23:04:31","00:23:06:21","Müsste reichen, aber hat knapp nicht gereicht..."
"Dietmar","00:23:06:34","00:23:09:23","Genau, weil einfach während des Laufs zu viele..."
"Dietmar","00:23:09:23","00:23:13:34","Vielleicht hat auch der gehärtete Stahlstift diesen Edelstahlblech zugesetzt, dass auch schon Einkerbungen waren."
"Michael","00:23:13:34","00:23:14:12","Ahh..."
"Dietmar","00:23:14:12","00:23:15:00","Kann auch sein, dass sich das Bl..."
"Michael","00:23:15:00","00:23:15:06","Abnutzung"
"Dietmar","00:23:15:06","00:23:16:07","...genau abgenutzt hat."
"Michael","00:23:16:07","00:23:16:32","Mhhh...."
"Dietmar","00:23:16:32","00:23:20:15","Ist natürlich auch ein ungleiches Partnerpärchen gewesen..."
"Dietmar","00:23:20:15","00:23:23:35","Gehärteter Stahl gegen... gegenüber Edelstahl, wo weich ist."
"Michael","00:23:23:48","00:23:26:03","Was war Edelstahl und was war gehärteter Stahl?"
"Dietmar","00:23:26:03","00:23:38:48","Das Blech ist Edelstahl. Ganz normal, konnte man mit der Feile bearbeiten. Nicht rostend ist der Vorteil! Und der Stahlstift, der da vorne drin sitzt... Vielleicht sieht man es in der Kamera... Das ist ein gehärteter Stahlstift aus einem Wälzlager. Und ist natürlich klar, der Partner gewinnt immer."
"Michael","00:23:39:13","00:23:40:12","Weil der härter ist?"
"Dietmar","00:23:40:13","00:23:41:12","Ja klar, weil der ist härter..."
"Michael","00:23:41:12","00:23:43:03","Und das war ein Fehler auch? Hätte man vielleicht dann..."
"Dietmar","00:23:44:06","00:23:50:09","Es ist insofern kein Fehler: Erstens war es preiswert, es liegt in großen Mengen da, dieser Stift. Der hat immer die gleichen Maße..."
"Dietmar","00:23:50:09","00:23:51:24","Und das hätte ich auch gemacht!"
"Dietmar","00:23:51:37","00:23:56:44","Und das nimmt man in Kauf, dass der härter ist: Bis das Blech sich da eindämmt, muss du ja Tausende von Schläge haben."
"Dietmar","00:23:56:44","00:24:02:13","Ich weiß nicht, wie oft das Museum die Maschine wirklich hat laufen lassen. Das kann ich nur erahnen, keine Ahnung!"
"Michael","00:24:02:13","00:24:04:16","Ja das... Würde ich gern noch..."
"Michael","00:24:04:16","00:24:06:37","Hier wollte ich eigentlich später drauf kommen, können wir aber auch gleich machen."
"Michael","00:24:06:37","00:24:09:14","Also die wurde ja die Maschine... Genau, die wurde..."
"Michael","00:24:09:14","00:24:14:36","Die habt ihr fertig gemacht und dann wurde die abtransportiert ins..."
"Michael","00:24:14:36","00:24:18:24","“Museum für Verkehr und Technik” und zwar..."
"Michael","00:24:18:24","00:24:19:31","Bleiben wir vielleicht mal da dran..."
"Michael","00:24:19:46","00:24:28:06","Da hat man ja dann vom Atelier aus das irgendwie mit einer ziemlich... gewagten Aktion dann mit so einem... Kran irgendwie rüber..."
"Dietmar","00:24:28:25","00:24:31:10","Ich habe es nur im Film gesehen und wir beide waren ja schon aus der Arbeit raus..."
"Michael","00:24:31:10","00:24:31:19","Ach so! Mhm."
"Dietmar","00:24:32:03","00:24:32:24","Das war..."
"Dietmar","00:24:32:24","00:24:41:20","Wir haben glaube ich, im Februar aufgehört, im Februar 1989. Wir sind beide zum ersten Dritten in unseren Job eingestiegen. Ich beim Daimler in Stuttgart."
"Dietmar","00:24:42:16","00:24:43:28","Und..."
"Dietmar","00:24:43:28","00:24:53:32","Damals waren wir raus und die Maschine war aber fertig. Und die wurde dann im Laufe des Sommers abtransportiert und dann im September im Museum [der] Öffentlichkeit vorgestellt und feierlich übergeben."
"Dietmar","00:24:54:04","00:25:10:26","Da war Riesenhuber auch anwesend und alle namhaften Wissenschaftler. Und der Abtransport lief so: Man hat die Scheibe vom Atelier rausgenommen. Es war ja keine schwenkbar, die waren ja fest in einem Rahmen eingesetzt. Die hat man rausgenommen, über einen Kran über dem Haus... Die Maschine dann auf so einer Palette rüber geschoben."
"Michael","00:25:10:26","00:25:11:20","Das war auf der anderen Seite..."
"Dietmar","00:25:11:20","00:25:11:33","Ja!"
"Michael","00:25:11:33","00:25:13:01","Das war nicht auf der Straßenseite?"
"Dietmar","00:25:13:01","00:25:13:31","Ganz genau!"
"Dietmar","00:25:13:31","00:25:25:32","Sondern das Atelier war hinten raus zum Garten, großen Garten, hinten draußen, hatten Wiese mit ein paar Obstbäumen. Und da wurde die Maschine raus gehievt und dann übers Dach, sozusagen auf die Straße, auf dem Transporter aufgesetzt."
"Dietmar","00:25:25:32","00:25:31:10","Ich habe es nur in dem Film gesehen, von dem Mathias Knauer. Dieses Filmdoku Team, was damals alles gedreht hat..."
"Dietmar","00:25:31:10","00:25:37:43","Und da war für mich auch klar: Oh, so haben die es gemacht! Weil ich habe mich immer schon gefragt: Wie wollen die die Maschine hier rausbringen? Weil der Treppenaufgang war viel zu klein..."
"Dietmar","00:25:37:43","00:25:44:12","Ich weiß auch gar nicht, wie sie die Maschine da reingebracht haben. Ich vermute mal, dass sie dann 1986/1987, dass die dort zusammengeschweißt wurde."
"Dietmar","00:25:44:12","00:25:48:27","Auch eine gute Frage, wo ich nicht weiß, wie wurde die reingebracht?"
"Dietmar","00:25:48:27","00:25:49:13","Die stand halt da!"
"Michael","00:25:49:25","00:25:51:01","Wahrscheinlich, wahrscheinlich haben sie es dort montiert."
"Dietmar","00:25:51:01","00:25:54:10","Ja, vermute ich auch, ja, ja!"
"Michael","00:25:54:10","00:26:02:44","Genau, und dann wurde das... an das Technikmuseum übergeben. Und da gab es dann auch eine Vorführung, irgendwie eine offizielle... Eine Feier auch, nehme ich mal an..."
"Michael","00:26:02:44","00:26:03:18","Ja!"
"Michael","00:26:03:18","00:26:04:13","Warst du da auch dabei?"
"Dietmar","00:26:04:23","00:26:07:00","Ja, da wurden wir eingeladen, eine große Feier war das!"
"Dietmar","00:26:07:00","00:26:18:31","Erst mal waren wir vorher ein paar Tage in dem Museum. Wir haben dort in deren Gästezimmer gewohnt, weil wir haben die Maschine... als sie dahin transportiert wurde, nochmal sozusagen ausgepackt, alles eingestellt, funktioniert auch alles?"
"Dietmar","00:26:18:31","00:26:22:25","Und dann kam auch das Filmteam: Mathias Knauer und Emil Zopfi."
"Dietmar","00:26:22:25","00:26:28:25","Und haben dann den Schlussakt gedreht. Und im Museum wurden auch noch ein paar Filmsequenzen gedreht... Und da waren wir ebenfalls anwesend."
"Dietmar","00:26:28:25","00:26:35:21","Das heißt, das war auch ein Teil des Jobs von uns: Übergabe ans Museum, Proberechnung machen, Film zu Ende drehen..."
"Dietmar","00:26:35:21","00:26:39:04","Und dann kam der offizielle Teil mit der Übergabefeier..."
"Dietmar","00:26:39:04","00:26:41:06","Ist auch in dem Film eine Sequenz drin, wo dann..."
"Dietmar","00:26:41:06","00:26:49:25","Ich glaube Riesenhuber war dabei und hat eine Rede gehalten, Zuse selbst ist zu Wort gekommen. Das war eine feierliche Übergabe. War schon ein großer Festakt, muss man sagen."
"Michael","00:26:49:25","00:26:49:32","MhHm."
"Michael","00:26:50:03","00:26:51:48","Der Bildungsminister Riesenhuber..."
"Michael","00:26:51:48","00:26:52:44","Oder wie hieß er?"
"Dietmar","00:26:53:03","00:26:53:26","Forschungschungsminister..."
"Michael","00:26:53:26","00:26:54:23","Forschungsminister!"
"Dietmar","00:26:54:23","00:26:54:34","Ja, mit der Fliege!"
"Michael","00:26:54:39","00:26:57:21","Ach ja richtig! Der damals!"
"Dietmar","00:26:57:21","00:26:58:23","Ja!"
"Michael","00:26:58:23","00:26:59:35","Ah ja und..."
"Michael","00:26:59:35","00:27:09:49","Ich habe mal gehört... Der Professor Rojas hat das, glaube ich, irgendwo mal geschrieben: Dass bei der Vorführung die Rechnung nicht funktioniert hätte."
"Dietmar","00:27:10:31","00:27:15:18","Okay, da war ich zumindest nicht dabei. Das weiß ich nicht. Es kann sein, dass es im Museum war."
"Michael","00:27:15:18","00:27:16:45","Aber du warst ja bei der... bei der... bei dieser... bei diesem..."
"Michael","00:27:16:45","00:27:19:20","Bei dem offiziellen Teil lief die Maschine auch..."
"Michael","00:27:19:32","00:27:23:44","Also bei diesem offiziellen Akt mit dem Minister lief die Maschine dann?"
"Dietmar","00:27:23:47","00:27:24:25","Also..."
"Dietmar","00:27:24:25","00:27:33:26","Wo der Minister kam und die Rede gehalten hat, haben wir die Maschine nicht laufen lassen, sondern Tage davor im Museum selbst! Wo der Professor... Aeh... der... der... der... Direktor dabei war."
"Dietmar","00:27:33:26","00:27:35:29","Für das Filmteam, haben wir es gemacht..."
"Michael","00:27:35:29","00:27:36:09","MhHm."
"Dietmar","00:27:36:09","00:27:38:20","Dann die Maschine wieder abgedeckt mit Plexiglas."
"Dietmar","00:27:38:20","00:27:46:31","Und bei dem Festakt selbst, wurde die Maschine nicht laufen gelassen. Da war nur die Rede, Zuses’ Übergabe an die... ans Museum..."
"Dietmar","00:27:46:31","00:27:54:27","Und was hat er als Schlusssatz gesagt? Lernen Sie, wie man einen Computer erfinden kann, wo es noch keinen gibt! Oder so sinngemäß. Und das war dann auch das Ende des Festaktes."
"Dietmar","00:27:54:27","00:27:56:39","Und da haben wir selbst keine Rechnung gemacht."
"Dietmar","00:27:56:39","00:28:00:09","Aber klar ist, auch in der Zeit in Hünfeld..."
"Dietmar","00:28:00:09","00:28:03:38","Während manchen Proberechnungen ist die hängengeblieben. Die lief nicht immer durch."
"Dietmar","00:28:03:39","00:28:12:34","Das war auch unser... Angst und Sorge, dass die beim Übergeben ans Museum, wenn das Filmteam kommt, wieder einen Hänger hat und wir müssen dann wieder stundenlang rumbasteln."
"Dietmar","00:28:12:34","00:28:19:32","Deswegen würde ich diesem... Herrn Rojas nicht widersprechen! Es kann sein, dass der bei einer Proberechnung dabei war, wo die gehangen ist."
"Dietmar","00:28:19:32","00:28:25:35","Das war nun mal das Schicksal der Z1! Die war von der mechanischen Genauigkeit her nicht so, dass die immer durchlief."
"Dietmar","00:28:25:35","00:28:26:26","Eins ist klar!"
"Dietmar","00:28:26:26","00:28:30:00","Wenn sie durchlief und hat ein Ergebnis geliefert, war das Ergebnis nie falsch!"
"Dietmar","00:28:30:27","00:28:32:14","Also man kann nicht unterstellen, dass die..."
"Dietmar","00:28:32:14","00:28:35:03","Fest eingebaute Subtraktion im Leitwerk, oder..."
"Dietmar","00:28:35:03","00:28:40:32","Diese Addition oder Subtraktion, Division... Die Kombination... Dass die nicht das richtige Ergebnis geliefert hätten..."
"Dietmar","00:28:40:32","00:28:41:36","Das haben wir nicht erlebt!"
"Dietmar","00:28:41:36","00:28:42:39","Das hat immer gestimmt!"
"Michael","00:28:44:02","00:28:51:41","Ja, aber das ist schon mal ein super Ergebnis, finde ich. Ja ich auch! Sehe ich genauso! Dass man dieses komplizierte Werk so hinbekommt, dass es im Prinzip funktioniert!"
"Dietmar","00:28:51:42","00:29:02:00","Ganz genau! Und das war ja auch das Sinn und Zweck des Kuratoriums: Können wir jetzt mit modernen Mitteln 1988 beweisen, dass der Zuse 1936, mit seiner Idee schon richtig lag? Das war die Grundidee."
"Dietmar","00:29:02:00","00:29:04:47","Und das kann man definitiv bejahen, er lag richtig mit seiner Theorie!"
"Dietmar","00:29:04:47","00:29:07:39","Die Maschine hat im Grunde genommen funktioniert!"
"Dietmar","00:29:07:39","00:29:08:23","Das war schon so."
"Dietmar","00:29:08:23","00:29:10:23","Aber die Mechanik ist der falsche Weg!"
"Dietmar","00:29:10:23","00:29:18:18","Ich will dazu mal den Fall zu schildern, wenn wir an der Maschine in der Aufbauphase oder später in der Testphase einen Defekt erlebt haben:"
"Dietmar","00:29:18:18","00:29:19:34","Uschi oder ich, wir haben gedreht..."
"Dietmar","00:29:19:34","00:29:21:19","Einer von uns hat gedreht, der andere hat bedient..."
"Dietmar","00:29:21:40","00:29:26:09","Und dann war schon ein komisches Geräusch... Und derjenige hat an der Kurbel sofort bemerkt: Uups, da stimmt was nicht!"
"Dietmar","00:29:26:09","00:29:28:16","Dann ging es los, Fehlersuche... Wo klemmt es?"
"Dietmar","00:29:28:16","00:29:35:05","Das heißt immer wieder in die Bleche reingehen, in die Bewegung... Und ich habe dann in die Ebenen reingeschaut... Gekuckt, wo sich das Blech irgendwo aufbeugt..."
"Michael","00:29:35:05","00:29:35:21","Ahh!"
"Dietmar","00:29:36:19","00:29:40:34","Das sieht man in den Blechen, die fangen an so hoch zu springen. Das sieht man auch hier in der... In dem Modell ganz gut:"
"Dietmar","00:29:40:34","00:29:44:08","Wenn jetzt hier so eine Kraft angibt, dann geht das Ganze so nach oben!"
"Michael","00:29:44:08","00:29:45:06","Aaah!"
"Dietmar","00:29:45:06","00:29:53:27","Und dann haben wir erst mal rausfinden müssen, in welchem... Modul ist überhaupt das Problem. Das hast du von Geräusch her gehört. Dann wusstest du, entweder Speicherwerk, was seltener vorkam..."
"Dietmar","00:29:53:27","00:29:55:07","Im Rechenwerk waren mehr Fehler drin."
"Dietmar","00:29:55:19","00:29:56:32","Gut, dann haben wir dann den Block gefunden."
"Dietmar","00:29:56:32","00:29:58:41","Jetzt muss von hier kommen, man konnte es auch fühlen..."
"Dietmar","00:29:58:41","00:29:59:24","Dann gekuckt, wo?"
"Dietmar","00:29:59:24","00:30:01:08","Ach, ja hier unten, ich seh’s... Der Stift, der wackelt hier!"
"Dietmar","00:30:01:08","00:30:01:39","Ebene Drei!"
"Dietmar","00:30:02:17","00:30:03:34","Okay!"
"Dietmar","00:30:03:34","00:30:06:40","Alles gestoppt: Wir haben gewusst, in welchem Takt war das Ganze..."
"Dietmar","00:30:06:40","00:30:12:46","Schrauben aufgedreht, Ablageblech geholt... Blech abgelegt, erstes Blech abgelegt, zweites, drittes Blech..."
"Dietmar","00:30:13:46","00:30:19:22","Ich will nicht übertreiben: Stundenlang, bis du an der Stelle warst... Also da waren drei vier Stunden Ablegen gar kein Thema!"
"Dietmar","00:30:19:22","00:30:24:41","Weil du musst jedes Teil rausnehmen, jeden Stift, jede Distanzhülse. Und dann bist du an der Ebene und dann siehst du:"
"Dietmar","00:30:24:41","00:30:25:26","Okay, das Blech hakt! Warum?"
"Dietmar","00:30:26:19","00:30:28:17","Und haben wir dann nochmal leicht gedreht:"
"Dietmar","00:30:28:17","00:30:29:48","Entweder es war ein Impulsfehler..."
"Dietmar","00:30:29:48","00:30:35:12","Wir haben Überlegungsfehler gehabt oder Zuse hatte den... Wir haben quasi nach falschen Zeichnungen Bleche konstruiert!"
"Dietmar","00:30:35:42","00:30:38:47","Oder es war wieder ein Mechanik Problem, weil die Impulse wieder..."
"Dietmar","00:30:38:47","00:30:41:11","Na, das Thema Addition der Impulse..."
"Dietmar","00:30:41:11","00:30:42:23","Gab es diverse Gründe dafür.."
"Dietmar","00:30:42:30","00:30:48:07","Dann das Blech angeschaut, als Schlosser begutachtet: Ist es noch im elastischen Bereich die Verformung?"
"Dietmar","00:30:48:07","00:30:51:24","Oder ist es schon plastisch verformt, mit einer Knickstelle?"
"Dietmar","00:30:51:24","00:30:54:03","Dann ganz klar, Blech noch einmal neu herholen!"
"Dietmar","00:30:54:03","00:31:07:32","Dann haben wir bei Siemens angerufen: Kollege Ernst kam... Haben das Blech mitgegeben, der wusste, in welchem Programm das war: Die müssen auch Horden von Programmen gehabt haben, damals bei Siemens in Bad Hersfeld. Hat das Blech nachdrahterodiert und haben es wieder eingebaut."
"Dietmar","00:31:07:32","00:31:09:40","Und wie gesagt, es gab verschiedene Fehler:"
"Dietmar","00:31:09:40","00:31:12:21","Einen logischen Fehler: Dass der Impuls zur falschen Zeit kam..."
